,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol
ENSG00000106636.6,1.34088181964992,1.23661629458729,1.45393851119173,1.22808172044797e-12,1.33355425839147,1.19432719395473,1.48901152805989,3.11232321878824e-07,YKT6
ENSG00000173578.7,0.950090505495173,0.935851887734986,0.964545758214779,3.0231435039483e-11,0.949096994296059,0.929581398219341,0.969022300045281,8.28774359125081e-07,XCR1
ENSG00000151498.10,0.804934702760732,0.749782571982698,0.864143686342524,2.07256389536333e-09,0.776530447640822,0.681765506632525,0.884467650896095,0.000139654492196463,ACAD8
ENSG00000178988.10,0.834320150779822,0.766354847869746,0.908313056193489,2.93908140947198e-05,0.843801968050025,0.766278289970964,0.929168646174322,0.000552232790311801,MRFAP1L1
ENSG00000106733.19,0.86251701049807,0.814539769461792,0.913320161015691,4.08350492378969e-07,0.844309114031965,0.766129980151921,0.930465976407924,0.000640889794641597,NMRK1
ENSG00000136273.10,1.19209262304088,1.08861726677739,1.30540352911661,0.000149009697948105,1.20470717849194,1.07458868380749,1.35058130406482,0.00140540456346899,HUS1
ENSG00000186716.18,0.880543610498229,0.820365773692023,0.945135785589631,0.000427869655525083,0.849888556818317,0.764313361833576,0.945045049687357,0.00266606991464399,BCR
ENSG00000179344.15,0.956771857509096,0.931982081772753,0.982221016073797,0.000969231823790578,0.956740884398079,0.928011523472774,0.986359648265373,0.00447084958876785,HLA-DQB1
ENSG00000163820.13,0.900054150132591,0.848328752876681,0.954933415169369,0.000488443093373038,0.887405054019065,0.814696588533903,0.966602464011433,0.0061671335159878,FYCO1
ENSG00000130770.16,0.895061281905782,0.838129410394499,0.955860381978167,0.000945433926253657,0.885491873603476,0.811591187513895,0.966121700532104,0.00623598860462196,ATPIF1
ENSG00000053372.4,1.15545365470128,1.07458146376808,1.24241222576186,9.50483850504692e-05,1.15598817781972,1.04051753906434,1.28427308247068,0.00694050977100546,MRTO4
ENSG00000189339.10,0.895970054709994,0.847046883288047,0.947718898180565,0.000125930453242548,0.89225226847921,0.821017985254947,0.969667077827879,0.00724100626159516,SLC35E2B
ENSG00000173258.11,0.962261581310902,0.937881379025455,0.98727554632666,0.00330324130368415,0.951589836048572,0.91700041086109,0.987483980754857,0.00862236789921828,ZNF483
ENSG00000168779.18,1.06561075625252,1.04493770265551,1.08669280566233,2.04844870494946e-10,1.05664965304692,1.01367702119532,1.10144401613011,0.00928890357978487,SHOX2
ENSG00000161048.10,0.86284201709444,0.799936066612035,0.930694811170052,0.000133681843950204,0.872049433362453,0.781013854448458,0.973696189761973,0.0149402214512646,NAPEPLD
ENSG00000186300.10,0.872355530468195,0.817357093859836,0.931054709447406,3.95607479105049e-05,0.851470149521933,0.745640754453269,0.972319996187038,0.0175729623747679,ZNF555
ENSG00000112139.13,1.04227698643442,1.01247476083715,1.07295644145499,0.00514898829028561,1.05469905607633,1.00576409955339,1.10601491878887,0.0280145776291462,MDGA1
ENSG00000113812.12,0.841542170077455,0.758302538922888,0.933919099129759,0.00116847760522904,0.815960721073486,0.679482282645515,0.979851742038881,0.0294121886949844,ACTR8
ENSG00000172014.12,0.986774859867183,0.976601146030119,0.997054558070188,0.0118080681060239,0.986873985134847,0.975134639810071,0.998754656819112,0.0304599240688757,ANKRD20A4
ENSG00000164828.16,1.13828483912483,1.05161945136714,1.23209243923456,0.00134757367461875,1.13044760174384,1.0098634797658,1.2654302347727,0.0331295234497513,SUN1
ENSG00000136144.10,0.916691463209401,0.861641457144572,0.975258597126667,0.00590864294290592,0.90237248399268,0.81912615197952,0.994078992471818,0.0375053959670869,RCBTB1
ENSG00000106086.17,1.10663068059515,1.02712156916224,1.19229456376165,0.00773515309677204,1.1040103682241,1.00553381025411,1.2121311891425,0.0379188708617861,PLEKHA8
ENSG00000123415.13,1.1062278827414,1.02285528467879,1.19639615386922,0.0115630009481312,1.10350255140765,1.00051326425592,1.21709319053237,0.0488121372755657,SMUG1
ENSG00000141580.14,1.08450664801298,0.99684512928595,1.17987702906953,0.0592296732670559,1.13860510921335,0.997539422008643,1.29961940964325,0.0544225853766873,WDR45B
ENSG00000151465.12,1.16029879289559,1.06492866414425,1.2642098331317,0.000680046883425854,1.17076082739184,0.99394882415449,1.37902564160806,0.0591194306325257,CDC123
ENSG00000102753.8,1.10598029680979,1.02581003938265,1.19241611016755,0.00869832871664687,1.12225139214162,0.994790089570419,1.26604416385738,0.0607866075360017,KPNA3
ENSG00000183549.9,0.972423546601132,0.956292273091281,0.988826931464772,0.00105119410321518,0.970715240083918,0.940984329995781,1.00138551439577,0.0611062102770601,ACSM5
ENSG00000120925.12,0.909407614846257,0.846806236601322,0.976636890700797,0.00906436181183699,0.905116746926802,0.814618943920948,1.00566814911544,0.0636243323103023,RNF170
ENSG00000186470.12,0.946566425281384,0.90636273243321,0.988553440480304,0.0131434503667582,0.947752297487924,0.89447759214651,1.00420002164404,0.0690682636816247,BTN3A2
ENSG00000183826.15,0.909655825733507,0.850490256994415,0.972937331716361,0.00578864156061037,0.885832585592803,0.775106771436726,1.01237584112899,0.0751706892855735,BTBD9
ENSG00000213462.4,1.03013922409791,0.995876226512515,1.06558103584944,0.0853361555653738,1.03013922409791,0.995876226512515,1.06558103584944,0.0853361555653738,ERV3-1
ENSG00000108556.7,0.956686149689488,0.924624540859965,0.989859503573692,0.0108966237785202,0.952604928483358,0.901083210237228,1.00707253166095,0.0869817543381795,CHRNE
