,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000139343.9,50850,0.716673632915292,1.06662608437974e-16,0.547379475339128,0.885967790491456,95.9036794151466,0.147604542619436,SNRPF
ENSG00000175643.8,868,1.59828715244752,3.90401509334121e-14,1.1841514967479,2.01242280814715,97.5719052666572,0.942440412501903,RMI2
ENSG00000106367.12,25330,0.691616885716465,3.61287591619798e-12,0.49661811916394,0.886615652268989,96.4780187060782,0.203161413909515,AP1S1
ENSG00000106636.6,34205,0.507377003289393,5.56595021688197e-11,0.355668715993095,0.659085290585691,97.7492894594412,0.126225012450514,YKT6
ENSG00000106086.17,34986,0.484619503720463,8.36003876316936e-10,0.329870947784341,0.639368059656585,96.9786546585092,0.131717284426401,PLEKHA8
ENSG00000183549.9,8890,-2.45217449413335,4.744535277204e-09,-3.27291586751609,-1.63143312075061,98.6854087159651,3.69385877680485,ACSM5
ENSG00000123415.13,24079,0.436589192505882,2.34150200931377e-08,0.283366216936884,0.58981216807488,97.2443812056738,0.132182337477966,SMUG1
ENSG00000198663.15,48997,-0.282482940765584,4.33232053331275e-08,-0.383575260103214,-0.181390621427954,96.4825974553648,0.0555527813847473,C6orf89
ENSG00000151465.12,53924,0.333366867016843,1.5243001359659e-07,0.208902702156334,0.457831031877351,97.3152441385969,0.0832908832364505,CDC123
ENSG00000204267.12,25483,0.519263289612609,1.686162881313e-07,0.324703592050713,0.713822987174506,95.5153005301709,0.199198208194251,TAP2
ENSG00000183309.10,54601,0.403614342080635,7.14959166155651e-07,0.24403621086661,0.563192473294659,97.2508035408608,0.139884822734365,ZNF623
ENSG00000053372.4,55355,0.459858201351012,1.79681267419191e-06,0.27110427059741,0.648612132104613,97.5674926563358,0.196173735914195,MRTO4
ENSG00000112874.8,6595,-0.527883136552286,2.33373445866171e-06,-0.746985378242393,-0.308780894862179,96.2917139004164,0.2510511936799,NUDT12
ENSG00000163820.13,45644,-0.762547213062606,3.02265274829953e-06,-1.08263228695479,-0.442462139170418,98.4927193815018,0.572129405729829,FYCO1
ENSG00000197619.12,10755,-0.377313975829802,3.20742769066472e-06,-0.536109515035986,-0.218518436623617,95.3817633110622,0.133150787573515,ZNF615
ENSG00000141580.14,37140,0.273403065905766,1.00321635656905e-05,0.15207108160362,0.394735050207913,97.381295920279,0.0804991139147155,WDR45B
ENSG00000151553.13,23027,-0.329203026291459,1.05835434392915e-05,-0.47568237867283,-0.182723673910088,96.096879679759,0.113616739281908,FAM160B1
ENSG00000117407.15,22593,1.22096562541775,2.60723209928771e-05,0.651911740046719,1.79001951078877,98.4947248641376,1.82867328233861,ARTN
ENSG00000173578.7,44370,-0.947768846014338,5.35255454076013e-05,-1.40760615002957,-0.487931541999109,93.3896054516006,1.07735545520696,XCR1
ENSG00000143437.19,39662,-0.284566341464728,7.72082465240936e-05,-0.425662534331044,-0.143470148598412,97.9042979733116,0.11371310286449,ARNT
ENSG00000168779.18,40171,2.11517009363703,8.1414129755004e-05,1.06302590817911,3.16731427909494,98.3164937575236,6.09995600227922,SHOX2
ENSG00000204580.10,1321,0.746155082975374,9.52335468387142e-05,0.371404282002515,1.12090588394823,98.4453395329534,0.753937293712079,DDR1
ENSG00000067840.11,3584,-1.42609765210691,0.000171205291470364,-2.1698502371933,-0.68234506702052,98.9932046330878,3.11703450533827,PDZD4
ENSG00000106733.19,40850,-0.370974693966042,0.000186512236347036,-0.565561648381026,-0.176387739551058,96.534348454909,0.202348105341485,NMRK1
ENSG00000136273.10,34767,0.24970665478115,0.000319351814885974,0.113722789250828,0.385690520311472,97.8661541399789,0.103431726512232,HUS1
ENSG00000141527.15,5768,1.20943355838882,0.000347576684690248,0.546740114611453,1.87212700216619,98.6753184878041,2.49545385038045,CARD14
ENSG00000173258.11,41459,-0.994582009237154,0.000352294414862376,-1.54008822674815,-0.449075791726155,98.7005222334335,1.6800338683173,ZNF483
ENSG00000160679.11,34095,0.257694682719501,0.000660071500520832,0.109390380254204,0.405998985184797,98.2975786014258,0.118861864055713,CHTOP
ENSG00000104626.13,10627,0.326288464317704,0.00112718625451414,0.129919382747788,0.522657545887621,98.2383698312857,0.221247806677446,ERI1
ENSG00000161048.10,40986,-0.287891568312804,0.0016466790230319,-0.467162560895148,-0.108620575730459,96.7466951307631,0.170798574287268,NAPEPLD
ENSG00000172014.12,50911,-0.974433146030302,0.00183560089375585,-1.5874268015233,-0.361439490537304,78.5895791872872,1.45834728022521,ANKRD20A4
ENSG00000163945.14,42611,0.319838659562854,0.00220921080421435,0.115016148523904,0.524661170601804,96.5113916579733,0.232359322208138,UVSSA
ENSG00000102753.8,39586,-0.191305874066455,0.00250307979955899,-0.315340436681932,-0.0672713114509792,94.6826063657555,0.0780605737455982,KPNA3
ENSG00000010165.18,40707,0.236911280126753,0.00279533876043238,0.081582811009682,0.392239749243824,98.3851982904239,0.137752174669078,METTL13
ENSG00000166548.14,5277,-0.321794620014606,0.00368185835450731,-0.538964431239854,-0.104624808789358,98.533807625489,0.26189664842093,TK2
ENSG00000164828.16,21574,0.200993795305884,0.00412584189167356,0.0636545740614819,0.338333016550286,97.1484536628445,0.103635165617086,SUN1
ENSG00000151498.10,2146,-0.31403986469209,0.00429075168508426,-0.529556811201109,-0.0985229181830713,98.2744892769524,0.259898489349938,ACAD8
ENSG00000198625.11,20573,0.229511908956699,0.00507262116346301,0.0689932837124475,0.390030534200951,95.1789717901249,0.132189044613831,MDM4
ENSG00000183826.15,18917,-0.336106001788489,0.0123113728385648,-0.599282826059979,-0.072929177516999,98.8703004814492,0.395473698663128,BTBD9
ENSG00000182195.7,38946,-0.660190539668287,0.0142340733556448,-1.18805288720402,-0.132328192132555,99.2110559641327,1.59808076551657,LDOC1
ENSG00000164855.14,45903,0.732615260596107,0.0158872197926451,0.137175981901812,1.3280545392904,98.5352672051399,1.84845995081655,TMEM184A
ENSG00000142794.17,35472,-0.214441773662031,0.0187068946634345,-0.393191581681139,-0.0356919656429219,90.2596498211631,0.151927688235912,NBPF3
ENSG00000196418.11,54381,0.308222761082998,0.0232767433970887,0.0419634571610839,0.574482065004911,97.7621977951607,0.377626984501625,ZNF124
ENSG00000167526.12,6862,0.257502547017472,0.0272606469963452,0.0289022754735936,0.48610281856135,96.5725659518785,0.279569357490532,RPL13
ENSG00000112139.13,51883,-0.497390615912034,0.0338302222712681,-0.956781084407233,-0.0380001474168337,97.3321255489818,1.13487418458262,MDGA1
ENSG00000179403.11,46445,0.289781284770921,0.0394220564306367,0.0140392013787918,0.56552336816305,95.7121546122383,0.373481407574274,VWA1
ENSG00000011198.6,1912,-0.324938000470223,0.0434026122375422,-0.6402475085838,-0.00962849235664498,98.6195634208063,0.549546140374996,ABHD5
ENSG00000143622.9,58234,0.237050877302663,0.0492302823171922,0.000798917365764845,0.473302837239561,99.028178490775,0.321887341660491,RIT1
ENSG00000175137.10,58203,0.171369996847666,0.0532151969195384,-0.00237516477684432,0.345115158472177,98.2592396985744,0.172440844087362,SH3BP5L
ENSG00000272047.1,31844,-0.150954515062069,0.0567863460005451,-0.306268378505929,0.00435934838179056,96.754699948444,0.130871844413682,GTF2H5
ENSG00000197121.13,8817,-0.259714793468532,0.0572053950172398,-0.527381317381827,0.00795173044476333,97.3088803546141,0.391843070358651,PGAP1
