,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol.x,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.y
10,ENSG00000106636.6,34205,0.507377003233435,5.56594915601556e-11,0.355668716612153,0.659085289854716,97.7492894679391,0.126225011622236,YKT6,1.34088181964992,1.23661629458729,1.45393851119173,1.22808172044797e-12,1.33355425839147,1.19432719395473,1.48901152805989,3.11232321878824e-07,YKT6
16,ENSG00000123415.13,24079,0.436589199157805,2.34150152845138e-08,0.283366222233554,0.589812176082057,97.2443818805285,0.132182339648331,SMUG1,1.1062278827414,1.02285528467879,1.19639615386922,0.0115630009481312,1.10350255140765,1.00051326425592,1.21709319053237,0.0488121372755657,SMUG1
23,ENSG00000139343.9,50850,0.71667363339824,1.06662725978497e-16,0.547379473035801,0.885967793760679,95.9036795915538,0.147604548369756,SNRPF,1.06484240960262,1.00256638007128,1.13098681526473,0.0410204013301791,1.06173916987486,0.953780849444575,1.18191727743645,0.27350996361699,SNRPF
36,ENSG00000163820.13,45644,-0.762547214286348,3.02265227299676e-06,-1.0826322864775,-0.442462142095198,98.4927193966661,0.572129400522253,FYCO1,0.900054150132591,0.848328752876681,0.954933415169369,0.000488443093373038,0.887405054019065,0.814696588533903,0.966602464011433,0.0061671335159878,FYCO1
46,ENSG00000175643.8,868,1.59828720282977,3.90398654680304e-14,1.18415158612077,2.01242281953878,97.5719030881013,0.942440201665706,RMI2,1.05031798399154,1.00563552467631,1.09698577707977,0.0268752627039644,1.03987582654219,0.947232806187373,1.14157969145857,0.411473783363526,RMI2
67,ENSG00000241399.5,13510,-1.46686640704827,1.49890988726491e-08,-1.9746664170513,-0.959066397045237,98.758873819226,1.45822859584366,CD302,0.951994657874477,0.915595461966294,0.98984089182271,0.0133861907370807,0.964543568579479,0.906383656649717,1.02643542705402,0.255252277901423,CD302
