,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000167513.7,32698,2.34997484009092,1.10703836791281e-24,1.90090456538923,2.7990451147926,97.2490438200121,1.08540755558927,CDT1
ENSG00000139343.9,50850,0.716673633512596,1.06662694931621e-16,0.54737947382897,0.885967793196222,95.9036794205268,0.147604546218144,SNRPF
ENSG00000188783.5,25727,-2.43424454834226,1.63861625584413e-15,-3.03316715610791,-1.83532194057661,97.8144930720363,1.91861091375895,PRELP
ENSG00000112742.8,3548,2.41925260891335,8.54574172332266e-15,1.80815359206234,3.03035162576437,98.1183482499514,2.05558212017206,TTK
ENSG00000175643.8,868,1.59828717723505,3.90400969482574e-14,1.18415152495508,2.01242282951503,97.5719048498185,0.942440410427152,RMI2
ENSG00000198624.11,37733,-1.82363300417437,4.25534769198537e-14,-2.29685986650151,-1.35040614184722,98.6232918431373,1.2316226380207,CCDC69
ENSG00000106018.12,22043,-1.90230802087715,4.93943506419132e-13,-2.41821758220548,-1.38639845954881,96.0870621896131,1.41961953247205,VIPR2
ENSG00000106367.12,25330,0.691616883655575,3.61287690055894e-12,0.496618116606143,0.886615650705007,96.478018727776,0.203161414680792,AP1S1
ENSG00000196914.7,23333,-0.430379663808028,5.3729499672899e-12,-0.552712499729213,-0.308046827886844,91.9630427003137,0.0690696969425104,ARHGEF12
ENSG00000171303.6,26772,-2.49347424471822,1.50311013489611e-11,-3.21774953923483,-1.76919895020161,98.3218445999999,2.87077388520114,KCNK3
ENSG00000101204.14,34315,-3.79136986068186,3.61826973158554e-11,-4.91405238332435,-2.66868733803938,96.5658959000985,6.51688908977848,CHRNA4
ENSG00000205269.5,7371,-0.923682537184696,4.73632897697089e-11,-1.19885891366193,-0.648506160707465,97.2277060343758,0.422520525007165,TMEM170B
ENSG00000106636.6,34205,0.507377002300896,5.56594926338488e-11,0.355668715891824,0.659085288709968,97.7492894607689,0.126225010844744,YKT6
ENSG00000263812.4,24843,-2.66616286075004,4.94930199178348e-10,-3.50619374424559,-1.82613197725449,98.4523879101675,3.99630813416205,LINC00908
ENSG00000153446.14,40094,-3.06184482936231,8.10489777136797e-10,-4.03876862300396,-2.08492103572066,99.1542986492633,5.48810552578919,C16orf89
ENSG00000106086.17,34986,0.484619496339534,8.35999856104239e-10,0.329870962025603,0.639368030653465,96.9786546864707,0.131717248531227,PLEKHA8
ENSG00000138092.9,32041,0.968364571524963,1.85134949402275e-09,0.652582141829408,1.28414700122052,99.1669383818993,0.571343171614036,CENPO
ENSG00000100426.6,59354,0.449187092246258,4.22506428331491e-09,0.299336754228472,0.599037430264043,95.9343694633544,0.119589563789557,ZBED4
ENSG00000183549.9,8890,-2.4521718238149,4.7436685202028e-09,-3.2729080483674,-1.63143559926239,98.6853724497528,3.69380925020688,ACSM5
ENSG00000136842.12,1649,-1.98734834505898,8.29905504237477e-09,-2.66332010751101,-1.31137658260695,98.7155027022036,2.50258592225216,TMOD1
ENSG00000241399.5,13510,-1.46686641193114,1.49891012072602e-08,-1.97466642602122,-0.959066397841054,98.7588738742766,1.45822864804686,CD302
ENSG00000123415.13,24079,0.43658918702795,2.34150424208466e-08,0.283366208834453,0.589812165221446,97.2443819936233,0.132182342753258,SMUG1
ENSG00000198663.15,48997,-0.282482939575072,4.33232301400322e-08,-0.38357526035773,-0.181390618792414,96.4825978228802,0.0555527830236518,C6orf89
ENSG00000275152.3,28174,-2.95198141901499,8.18224686309795e-08,-4.03080098604008,-1.87316185198989,98.130095467907,6.43149386107846,CCL16
ENSG00000151465.12,53924,0.333366869136415,1.5242999607825e-07,0.208902703986525,0.457831034286305,97.3152441580491,0.083290883468492,CDC123
